,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ENSSSCT00000027749,0,4.242124563,15.52050326,12.07453473,3.306885712,0,0.087802376,0,0,0
ENSSSCT00000044534,17.01973554,10.82538192,26.42480233,60.50679446,4.937099671,9.658162195,9.232428254,37.63783392,37.48713061,22.12784945
ENSSSCT00000048008,7.209166322,11.94894131,10.15143344,7.169323331,17.84550804,25.57604059,4.900434736,13.7170429,11.80556987,40.79956774
ENSSSCT00000059893,6.120504242,2.780973566,20.5585894,0.615978884,0.900180915,1.418080216,2.15935436,0,3.393099913,1.254448227
ENSSSCT00000040776,0,0,0,1.262355844,0,0.278620166,0,0.623885341,0,0.280193963
ENSSSCT00000049256,14.47971715,2.417928902,1.040172425,2.399616862,0,1.678293712,2.004439432,1.178452609,0.938052684,1.390413887
ENSSSCT00000042531,3550.28876,5044.096328,5978.206554,1261.124369,3358.604745,2047.702143,1071.699853,4411.543735,1274.310558,4529.948596
ENSSSCT00000005302,0,0,0,0,0,0,0.127395089,0,0,0
ENSSSCT00000025260,1305.139721,3230.202022,1396.351723,1098.841331,948.2564196,2689.931173,567.5163324,1294.823244,1182.899936,7531.223687
ENSSSCT00000064546,5.390679858,0,0,0.636252206,0.193279081,1.593280463,0.125018001,0.615209103,0.133840993,0.082559097
ENSSSCT00000012873,38.89362011,3.8924098,18.75859387,6.313460228,10.55822944,8.340440985,11.70333318,6.775742097,19.54791652,13.38816594
ENSSSCT00000005982,0,1.570811122,2.103951635,0,0,0.859691227,0,0,0,0
ENSSSCT00000027644,0,0,0,0,0.593245727,0,0,0,0,0
ENSSSCT00000065394,5.615414087,52.34633863,6.296529749,10.74869704,2.725983336,1.465934855,12.11056845,2.824922761,2.885264991,1.17168089
ENSSSCT00000027004,33.56992022,179.3562165,35.1344677,128.7573774,284.0654006,81.66254824,111.7065718,90.49865735,59.37592036,343.1442628
ENSSSCT00000069068,0,1.169891455,0,0.390055739,1.460068533,0.331947084,0.038602059,0,0,0.366336281
ENSSSCT00000081024,0.937625679,0,0,0,0,0.390618128,0.033233273,0,0.053593914,0.018662836
ENSSSCT00000003289,44.21830538,56.06164751,254.7811681,29.82083662,231.5881903,19.49502568,21.48612962,106.9219418,49.04243655,102.7416865
ENSSSCT00000030515,28.23371764,8.904103347,33.48680803,4.176373768,29.32653233,31.36150001,10.67755489,3.011735664,8.912005372,24.17805098
ENSSSCT00000011578,18.445605,20.40075639,43.87986763,16.36142556,44.06763055,23.38040322,15.81970799,8.9887199,30.28787549,131.7150581
ENSSSCT00000088139,8.8283403,8.735654055,5.996776493,15.6082069,11.36283988,8.498693988,3.619626881,11.04087303,59.81681451,8.708896298
ENSSSCT00000064075,60.61866851,32.77905277,68.64380912,77.21148443,24.33695042,155.2625446,61.76807304,116.8145249,301.5149105,202.3668327
ENSSSCT00000017110,178.4548702,64.07763986,324.9300334,201.4021781,116.9999673,208.0717469,123.1161577,36.6183913,276.8842965,120.8507337
ENSSSCT00000008041,12.63558372,12.72045319,8.521230336,0.974137891,9.105035814,3.137726858,6.832082664,1.310243206,8.07644399,2.655926546
ENSSSCT00000000963,4.568631869,10.80019388,6.438198554,2.453585842,4.5577047,2.602583341,32.64260279,2.905952118,6.577968781,6.391733112
ENSSSCT00000041214,8.44465254,10.41516906,6.334730379,5.696354397,17.76036489,5.054009959,23.03821715,1.505216991,8.782568397,21.94406446
ENSSSCT00000003726,0,0.73413486,0,0,0,0,0,0,0,0
ENSSSCT00000065843,0,0,0,0,1.273024618,0,0,0,0,0
ENSSSCT00000000252,45.21530088,4.479695793,2.181741612,1.737690761,2.4748196,7.434036868,1.032224711,4.799591926,3.069862824,10.04051514
ENSSSCT00000060597,1.70385569,0.904923326,0,0,0,0,0,0,0,0
ENSSSCT00000060330,3.139388253,0.475738976,0.592849782,0.397876549,0.689111716,1.736619158,0.043872324,2.49736824,1.806795562,1.909547175
ENSSSCT00000017067,0,1.481776063,1.675575306,1.32197607,1.110474761,0.4181875,0.144209236,0,1.480856779,1.209328788
ENSSSCT00000012324,0.171764934,0.413487576,0,0.643834762,0.377523583,0.409886323,0,0,0.075248449,0.09709923
ENSSSCT00000095024,62.5158091,23.8104044,11.82346813,28.80912479,4.534566802,24.14664687,1.66544081,0.372888562,15.9489306,6.648014234
ENSSSCT00000088369,7.045237899,4.545011387,1.423929923,3.256633576,19.96157034,1.048469847,4.438379493,1.409645173,0.589673285,0.455304685
ENSSSCT00000030730,2.944419233,18.08734419,1.052156417,5.369251014,12.38431896,6.611023966,4.988203361,0.953443823,3.043344651,8.169300577
ENSSSCT00000041303,135.9622347,44.49893584,123.7285983,21.97200709,95.00061845,10.00977398,4.647214029,7.958916103,175.2266192,40.33872414
ENSSSCT00000009955,0,0,0,0.702352091,0,0,0,0,0,0
ENSSSCT00000005202,2.77842123,1.852651342,35.01625359,2.562247711,3.212203661,7.625428061,1.394992988,0.238692996,4.045742525,5.527850478
ENSSSCT00000088907,29.13187541,10.52936717,61.29251352,13.67924003,12.03240881,36.64172803,29.27647225,10.32055188,24.31567454,17.50718322
ENSSSCT00000018885,0,2.041844031,0,1.085564411,1.416639431,1.161160741,0.22071587,0.130154001,0.122106751,0
ENSSSCT00000074893,0,0.221534383,0.662781877,0.323421071,0.155370234,0.463375682,0,0,0,0.507653912
ENSSSCT00000026700,25.17165442,12.20412454,3.427544093,4.765570827,10.6475954,9.597994779,5.588816779,4.271089642,28.39217184,16.86301426
ENSSSCT00000072504,8.137035329,38.30776966,28.24452332,17.08155186,12.84981242,4.254279904,7.324311265,2.227792069,9.057576424,7.302151366
ENSSSCT00000007676,0,0,0,0.496591056,0,0,0,0,0,0
ENSSSCT00000064509,90.55823553,42.70005612,29.25827809,14.14025774,32.43665913,14.56946798,13.4483284,12.84074558,20.23962619,35.35107618
ENSSSCT00000002584,0,0,0,2.123716842,0.526172645,0,0,0,0,0
