"","H2","H3","H6","H7","H8","W1","W10","W6","W7","W9"
"ACTN1_ENSSSCG00000036702_ENSSSCT00000027004_275_2960_3660",66,331,191,176,494,274,2111,1997,3779,3407
"ACTN2_ENSSSCG00000010144_ENSSSCT00000069068_161_2921_6160",0,1,0,1,3,2,1,0,0,39
"ACTN3_ENSSSCG00000038323_ENSSSCT00000081024_33_2832_2950",1,0,0,0,0,2,10,0,14,1
"ACTN4_ENSSSCG00000002965_ENSSSCT00000003289_51_2850_3928",91,81,113,91,425,133,702,989,1630,2127
"ACTR10_ENSSSCG00000022299_ENSSSCT00000030515_118_1369_3626",15,7,18,7,37,22,206,59,325,301
"ACTR1A_ENSSSCG00000010585_ENSSSCT00000011578_79_1126_3042",7,25,48,20,50,19,129,112,272,314
"ACTR1B_ENSSSCG00000008194_ENSSSCT00000088139_236_1361_2357",9,18,11,14,22,10,91,60,127,138
"ACTR2_ENSSSCG00000008358_ENSSSCT00000064075_111_1323_3793",84,44,134,65,168,126,1158,428,2042,1967
"ACTR3_ENSSSCG00000015710_ENSSSCT00000017110_116_1340_2135",131,61,133,85,215,171,1678,616,2566,2606
"ACTR5_ENSSSCG00000007349_ENSSSCT00000008041_0_1800_3506",6,8,11,3,25,6,36,28,85,105
"ACTR6_ENSSSCG00000025682_ENSSSCT00000000963_52_1240_2329",4,6,7,3,13,8,73,19,122,129
"ACTR8_ENSSSCG00000011458_ENSSSCT00000041214_87_1959_2028",7,21,30,10,18,17,141,61,216,299
"ACTRT2_ENSSSCG00000003357_ENSSSCT00000003726_0_1131_1134",0,1,0,0,0,0,0,0,0,0
"ACTRT3_ENSSSCG00000039994_ENSSSCT00000065843_199_1384_2388",0,0,0,0,2,0,0,0,0,0
"ACVR1B_ENSSSCG00000000233_ENSSSCT00000000252_27_1632_2949",9,6,1,1,10,3,7,10,19,53
"ACVR1C_ENSSSCG00000015873_ENSSSCT00000060597_24_1509_5436",1,1,0,0,0,0,0,0,0,0
"ACVR1_ENSSSCG00000015874_ENSSSCT00000060330_306_1833_2917",2,1,1,2,4,4,1,17,52,58
"ACVR2A_ENSSSCG00000015669_ENSSSCT00000017067_406_1945_5504",0,4,3,3,4,1,7,0,15,14
"ACVR2B_ENSSSCG00000011257_ENSSSCT00000012324_33_1605_3164",1,1,0,2,2,1,0,0,12,1
"ACVRL1_ENSSSCG00000000232_ENSSSCT00000095024_104_1616_3854",59,25,41,13,30,18,26,13,552,218
"ACY1_ENSSSCG00000023325_ENSSSCT00000088369_152_1373_1438",5,3,4,7,18,1,20,10,13,18
"ACYP2_ENSSSCG00000025224_ENSSSCT00000030730_173_554_906",1,4,1,1,7,3,25,8,39,35
"ADA2_ENSSSCG00000035218_ENSSSCT00000041303_374_1898_2504",88,63,50,26,67,36,100,78,814,528
"ADAD1_ENSSSCG00000009089_ENSSSCT00000009955_315_2046_2055",0,0,0,1,0,0,0,0,0,0
"ADAD2_ENSSSCG00000034385_ENSSSCT00000002964_0_1713_1859",0,0,0,0,0,0,0,0,0,0
"ADAL_ENSSSCG00000004710_ENSSSCT00000005202_168_1233_1868",3,2,12,3,5,4,17,1,49,73
"ADAM10_ENSSSCG00000004595_ENSSSCT00000088907_262_2506_6824",18,20,71,34,65,44,409,83,718,739
"ADAM11_ENSSSCG00000017349_ENSSSCT00000018885_28_2353_4958",0,3,0,1,2,2,13,8,8,0
"ADAM12_ENSSSCG00000010746_ENSSSCT00000074893_332_3068_8007",0,1,2,1,2,1,0,0,0,22
"ADAM15_ENSSSCG00000006533_ENSSSCT00000026700_74_2735_3013",19,20,21,7,28,22,155,115,364,307
"ADAM17_ENSSSCG00000008641_ENSSSCT00000072504_129_2484_3905",17,21,31,16,74,28,238,110,391,477
"ADAM18_ENSSSCG00000007008_ENSSSCT00000007676_169_2608_2996",0,0,0,1,0,0,0,0,0,0
"ADAM19_ENSSSCG00000017052_ENSSSCT00000064509_90_2904_6626",136,103,48,80,139,61,359,394,992,693
"ADAM21_ENSSSCG00000002322_ENSSSCT00000002584_0_2151_2154",0,0,0,4,1,0,0,0,0,0
"ADAM22_ENSSSCG00000015297_ENSSSCT00000056370_58_2968_6864",0,0,22,0,1,0,0,0,1,0
"ADAM23_ENSSSCG00000016131_ENSSSCT00000017564_274_2773_6430",2,3,0,0,0,1,0,0,0,0
"ADAM28_ENSSSCG00000009644_ENSSSCT00000075796_123_2508_2668",341,0,0,197,1,0,1,1,1,1
"ADAM29_ENSSSCG00000053572_ENSSSCT00000106789_0_2241_2244",0,0,1,0,0,0,0,0,0,0
