Transcript,TE_H,TE_W,log2_fold_change,regulation,ensembl_gene_id,external_gene_name,gene_biotype,description
ENSSSCT00000086234,3.17787563445061,2.17478242054418,-0.547191594664928,down,ENSSSCG00000009460,DIS3,protein_coding,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:VGNC Symbol;Acc:VGNC:87315]"
ENSSSCT00000086300,4.9200219267218,2.05138649869384,-1.26206541167371,down,ENSSSCG00000033733,HMGN1,protein_coding,high mobility group nucleosome binding domain 1 [Source:UniProtKB Gene Name;Acc:A0A287B4S0]
ENSSSCT00000086301,1.87192709546663,12.1983294470261,2.7040874316331,up,ENSSSCG00000002746,DHODH,protein_coding,dihydroorotate dehydrogenase (quinone) [Source:VGNC Symbol;Acc:VGNC:96780]
ENSSSCT00000086338,1.45205912231508,10.9781556806535,2.9184636026658,up,ENSSSCG00000034487,NDUFB11,protein_coding,NADH:ubiquinone oxidoreductase subunit B11 [Source:VGNC Symbol;Acc:VGNC:90645]
ENSSSCT00000086454,0.741925613173012,0.46865052007811,-0.662762063107204,down,ENSSSCG00000030632,UBE2V1,protein_coding,ubiquitin conjugating enzyme E2 V1 [Source:NCBI gene (formerly Entrezgene);Acc:100512077]
ENSSSCT00000086466,1.43634728486227,0.961895514823715,-0.578452515025387,down,ENSSSCG00000016593,ARF5,protein_coding,ADP ribosylation factor 5 [Source:NCBI gene (formerly Entrezgene);Acc:100270722]
ENSSSCT00000086605,1.54647469975786,0.725370761898833,-1.09219273148119,down,ENSSSCG00000009828,PPP1CC,protein_coding,protein phosphatase 1 catalytic subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:733612]
ENSSSCT00000086730,3.24745826300974,15.4724362139043,2.25231748525982,up,ENSSSCG00000029998,KLF7,protein_coding,KLF transcription factor 7 [Source:VGNC Symbol;Acc:VGNC:96396]
ENSSSCT00000086732,2.0766755834484,1.03954713717082,-0.99832067998444,down,ENSSSCG00000015067,ZPR1,protein_coding,ZPR1 zinc finger [Source:UniProtKB Gene Name;Acc:A0A8D0XSF7]
ENSSSCT00000086786,1.17614928739428,0.700125653646567,-0.748385416358741,down,ENSSSCG00000013538,KHSRP,protein_coding,KH-type splicing regulatory protein [Source:VGNC Symbol;Acc:VGNC:89427]
ENSSSCT00000086887,1.30171610819499,7.43241730520029,2.51341666161289,up,ENSSSCG00000004133,FUCA2,protein_coding,alpha-L-fucosidase 2 [Source:VGNC Symbol;Acc:VGNC:88263]
ENSSSCT00000086920,9.05375572994678,4.95849062602553,-0.868615354917177,down,ENSSSCG00000029544,RAB2B,protein_coding,"RAB2B, member RAS onco family [Source:VGNC Symbol;Acc:VGNC:98253]"
ENSSSCT00000086952,3.37253903833707,1.56845366699482,-1.10449223119116,down,ENSSSCG00000016330,,protein_coding,LRR binding FLII interacting protein 1 [Source:UniProtKB Gene Name;Acc:A0A287BIH9]
ENSSSCT00000086986,3.89780595303964,2.19244546847778,-0.830121310040976,down,ENSSSCG00000011199,TBC1D5,protein_coding,TBC1 domain family member 5 [Source:VGNC Symbol;Acc:VGNC:98360]
ENSSSCT00000087011,5.04420874426093,1.4742949969244,-1.77460275259008,down,ENSSSCG00000009449,TDRD3,protein_coding,tudor domain containing 3 [Source:VGNC Symbol;Acc:VGNC:93848]
ENSSSCT00000087021,0.371216610280928,1.58446233017201,2.09366018958401,up,ENSSSCG00000027859,HDAC7,protein_coding,histone deacetylase 7 [Source:VGNC Symbol;Acc:VGNC:103286]
ENSSSCT00000087048,2.39953473036782,1.63214508714006,-0.555985385207549,down,ENSSSCG00000007247,KIF3B,protein_coding,kinesin family member 3B [Source:VGNC Symbol;Acc:VGNC:96392]
ENSSSCT00000087108,2.49789398710868,1.20678048016909,-1.04954898294981,down,ENSSSCG00000036634,MAP4K5,protein_coding,mitogen-activated protein kinase kinase kinase kinase 5 [Source:VGNC Symbol;Acc:VGNC:98115]
ENSSSCT00000087117,3.80325448816901,0.44538769412762,-3.09410087489235,down,ENSSSCG00000004148,CCDC28A,protein_coding,coiled-coil domain containing 28A [Source:NCBI gene (formerly Entrezgene);Acc:100512200]
ENSSSCT00000087198,15.9361939765089,3.01515336548246,-2.40200382156699,down,ENSSSCG00000014955,MRE11,protein_coding,"MRE11 homolog, double strand break repair nuclease [Source:VGNC Symbol;Acc:VGNC:90342]"
ENSSSCT00000087289,0.671633048105695,0.388648754570612,-0.789206327579802,down,ENSSSCG00000013285,API5,protein_coding,apoptosis inhibitor 5 [Source:VGNC Symbol;Acc:VGNC:85410]
ENSSSCT00000087299,0.208403216465809,4.07878516090855,4.29069006977937,up,ENSSSCG00000036835,OSBPL2,protein_coding,oxysterol binding protein like 2 [Source:VGNC Symbol;Acc:VGNC:95653]
